date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:23:23	88997/88997	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202016%2020:24:30%20GMT	http://byrushan.com/projects/mae/1-0/widgets.html	C:/wamp/www/WiraMobile/byrushan.com/projects/mae/1-0/widgets.html	(from )
13:23:23	4806/4806	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202013%2002:24:42%20GMT	http://byrushan.com/robots.txt		(from )
13:23:24	11764/11764	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202015%2001:19:40%20GMT	http://byrushan.com/projects/mae/1-0/vendors/bower_components/fullcalendar/dist/fullcalendar.min.css	C:/wamp/www/WiraMobile/byrushan.com/projects/mae/1-0/vendors/bower_components/fullcalendar/dist/fullcalendar.min.css	(from http://byrushan.com/projects/mae/1-0/widgets.html)
13:23:25	55522/55522	---MCZ	200	added ('OK')	text/css	date:Thu,%2006%20Aug%202015%2006:45:04%20GMT	http://byrushan.com/projects/mae/1-0/vendors/bower_components/animate.css/animate.min.css	C:/wamp/www/WiraMobile/byrushan.com/projects/mae/1-0/vendors/bower_components/animate.css/animate.min.css	(from http://byrushan.com/projects/mae/1-0/widgets.html)
13:23:25	68239/68239	---MCZ	200	added ('OK')	text/css	date:Sun,%2012%20Jul%202015%2020:08:32%20GMT	http://byrushan.com/projects/mae/1-0/vendors/bower_components/material-design-iconic-font/dist/css/material-design-iconic-font.min.css	C:/wamp/www/WiraMobile/byrushan.com/projects/mae/1-0/vendors/bower_components/material-design-iconic-font/dist/css/material-design-iconic-font.min.css	(from http://byrushan.com/projects/mae/1-0/widgets.html)
13:23:26	42839/42839	---MCZ	200	added ('OK')	text/css	date:Sun,%2011%20Oct%202015%2013:12:58%20GMT	http://byrushan.com/projects/mae/1-0/vendors/bower_components/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css	C:/wamp/www/WiraMobile/byrushan.com/projects/mae/1-0/vendors/bower_components/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.min.css	(from http://byrushan.com/projects/mae/1-0/widgets.html)
13:23:26	30234/30234	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202015%2015:56:45%20GMT	http://byrushan.com/projects/mae/1-0/vendors/bower_components/google-material-color/dist/palette.css	C:/wamp/www/WiraMobile/byrushan.com/projects/mae/1-0/vendors/bower_components/google-material-color/dist/palette.css	(from http://byrushan.com/projects/mae/1-0/widgets.html)
13:23:29	286297/286297	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:44:59%20GMT	http://byrushan.com/projects/mae/1-0/css/app.min.1.css	C:/wamp/www/WiraMobile/byrushan.com/projects/mae/1-0/css/app.min.1.css	(from http://byrushan.com/projects/mae/1-0/widgets.html)
13:23:29	39233/39233	---MCZ	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202016%2018:44:59%20GMT	http://byrushan.com/projects/mae/1-0/css/app.min.2.css	C:/wamp/www/WiraMobile/byrushan.com/projects/mae/1-0/css/app.min.2.css	(from http://byrushan.com/projects/mae/1-0/widgets.html)
13:23:29	64125/64125	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20May%202016%2021:34:44%20GMT	http://byrushan.com/projects/mae/1-0/index.html	C:/wamp/www/WiraMobile/byrushan.com/projects/mae/1-0/index.html	(from http://byrushan.com/projects/mae/1-0/widgets.html)
